State, HS_PCT_Private , College_PCT_Private ,HS_Total,HS_Public,HS_Private,College_Total,College_Public,College_Private
Alabama, 0.105 , 0.143 ,254587,227893,26694,259231,222148,37083
Alaska, 0.072 , 0.148 ,43189,40063,3126,39461,33639,5822
Arizona, 0.063 , 0.133 ,374467,350949,23518,407409,353178,54231
Arkansas, 0.073 , 0.121 ,161768,150030,11738,159808,140505,19303
California, 0.077 , 0.160 ,2208576,2039089,169487,2694117,2263991,430126
Colorado, 0.071 , 0.146 ,273153,253820,19333,324910,277520,47390
Connecticut, 0.115 , 0.347 ,201482,178244,23238,219093,143083,76010
Delaware, 0.148 , 0.201 ,46424,39549,6875,57189,45666,11523
DC, 0.160 , 0.727 ,24045, ,3844,49560,13546,36014
Florida, 0.098 , 0.205 ,977627,881423,96204,1142524,908075,234449
Georgia, 0.102 , 0.186 ,579840,520514,59326,604042,491496,112546
Hawaii, 0.217 , 0.216 ,64885,50794,14091,83207,65216,17991
Idaho, 0.076 , 0.202 ,98389,90939,7450,94809,75651,19158
Illinois, 0.094 , 0.267 ,699486,633873,65613,746794,547383,199411
Indiana, 0.100 , 0.209 ,364658,328293,36365,387953,306782,81171
Iowa, 0.083 , 0.264 ,160313,146947,13366,183254,134933,48321
Kansas, 0.091 , 0.149 ,161241,146595,14646,171266,145780,25486
Kentucky, 0.109 , 0.171 ,227977,203129,24848,230713,191321,39392
Louisiana, 0.172 , 0.182 ,233237,193165,40072,239852,196130,43722
Maine, 0.118 , 0.253 ,64300,56723,7577,70805,52902,17903
Maryland, 0.132 , 0.186 ,308071,267366,40705,367144,298851,68293
Massachusetts, 0.117 , 0.440 ,339241,299648,39593,447403,250402,197001
Michigan, 0.088 , 0.143 ,544185,496509,47676,626755,537349,89406
Minnesota, 0.090 , 0.249 ,290280,264133,26147,306588,230227,76361
Mississippi, 0.123 , 0.109 ,164355,144078,20277,179073,159576,19497
Missouri, 0.118 , 0.246 ,306899,270662,36237,352213,265570,86643
Montana, 0.096 , 0.107 ,48539,43872,4667,50892,45464,5428
Nebraska, 0.091 , 0.166 ,101027,91803,9224,110093,91856,18237
Nevada, 0.061 , 0.148 ,154783,145369,9414,143750,122530,21220
New Hampshire, 0.124 , 0.334 ,70289,61556,8733,75654,50367,25287
New Jersey, 0.110 , 0.241 ,484152,431023,53129,486006,369088,116918
New Mexico, 0.079 , 0.100 ,115582,106476,9106,134882,121414,13468
New York, 0.130 , 0.352 ,1000546,870869,129677,1175072,761098,413974
North Carolina, 0.081 , 0.177 ,519062,477257,41805,597715,491631,106084
North Dakota, 0.059 , 0.098 ,33698,31719,1979,49979,45076,4903
Ohio, 0.118 , 0.224 ,618928,545776,73152,647950,502601,145349
Oklahoma, 0.076 , 0.158 ,204032,188535,15497,205826,173287,32539
Oregon, 0.080 , 0.154 ,194064,178442,15622,232589,196810,35779
Pennsylvania, 0.133 , 0.373 ,630451,546660,83791,688329,431678,256651
Rhode Island, 0.168 , 0.402 ,53465,44487,8978,81027,48475,32552
South Carolina, 0.089 , 0.206 ,250415,228212,22203,273136,216990,56146
South Dakota, 0.070 , 0.171 ,46133,42888,3245,47386,39286,8100
Tennessee, 0.131 , 0.247 ,341554,296787,44767,338352,254685,83667
Texas, 0.063 , 0.145 ,1539200,1441513,97687,1526401,1304834,221567
Utah, 0.054 , 0.254 ,193587,183143,10444,212352,158425,53927
Vermont, 0.099 , 0.338 ,31543,28424,3119,38036,25197,12839
Virginia, 0.098 , 0.195 ,431397,388907,42490,517463,416572,100891
Washington, 0.073 , 0.172 ,354828,329085,25743,392459,325013,67446
West Virginia, 0.062 , 0.138 ,85719,80396,5323,89244,76917,12327
Wisconsin, 0.089 , 0.185 ,303873,276868,27005,341157,278159,62998
Wyoming, 0.070 , 0.074 ,28615,26625,1990,32256,29867,2389
